Wall time,Step,Value
1748867102.0282428,300,1.0
1748867125.0384905,500,1.0
1748867163.6589844,800,1.0
1748867216.2837648,1200,1.0
1748867283.3030198,1700,1.0
1748867309.785356,1900,1.0
1748867337.2515283,2100,1.0
1748867376.2315679,2400,1.0
1748867540.4291487,2700,1.0
1748867568.164261,2900,1.0
1748867687.7064888,3800,1.0
1748867712.5190933,4000,1.0
1748867725.7184174,4100,1.0
1748867740.167331,4200,1.0
1748867795.1120303,4600,1.0
1748867989.53661,5100,1.0
1748868016.0723166,5300,1.0
1748868028.9825268,5400,1.0
1748868054.5824876,5600,1.0
1748868067.3480735,5700,1.0
1748868095.3077521,5900,1.0
1748868250.5328684,7000,1.0
1748868528.2356465,8100,1.0
1748868542.9505403,8200,1.0
1748868556.271336,8300,1.0
1748868610.1463995,8700,1.0
1748868653.1863892,9000,1.0
1748868666.3939257,9100,1.0
1748868719.1465547,9500,1.0
1748868758.8741527,9800,1.0
1748868931.350349,10100,1.0
1748868986.6823258,10500,1.0
1748869001.6682122,10600,1.0
1748869015.2378826,10700,1.0
1748869028.8271267,10800,1.0
1748869107.8615785,11400,1.0
1748869134.3694813,11600,1.0
1748876608.1276808,12600,1.0
1748876644.8444688,12900,1.0
1748876683.3295457,13200,1.0
1748876697.130581,13300,1.0
1748876724.7081962,13500,1.0
1748876779.239,13900,1.0
1748876791.36166,14000,1.0
1748876815.3518255,14200,1.0
1748876882.2785099,14700,1.0
1748877148.9508119,15900,1.0
1748877163.4068573,16000,1.0
1748877177.776563,16100,1.0
1748877248.3278592,16600,1.0
1748877304.945801,17000,1.0
1748877357.0059152,17400,1.0
1748877469.5558267,17500,1.0
1748877545.9144752,18100,1.0
1748877589.2833068,18400,1.0
1748877602.9911814,18500,1.0
1748877615.623133,18600,1.0
1748877629.0423417,18700,1.0
1748877642.69521,18800,1.0
1748877711.9836793,19300,1.0
1748877724.6090176,19400,1.0
1748877904.104445,20000,1.0
1748877916.7923157,20100,1.0
1748877969.5089014,20500,1.0
1748877997.7026792,20700,1.0
1748878036.110266,21000,1.0
1748878100.6421423,21500,1.0
1748878150.7363799,21900,1.0
1748878163.1886988,22000,1.0
1748878188.1815374,22200,1.0
1748878200.6798937,22300,1.0
1748878213.1066928,22400,1.0
1748886503.2008011,22700,1.0
1748886528.4304404,22900,1.0
1748886610.457219,23500,1.0
1748886624.6725981,23600,1.0
1748886638.0338402,23700,1.0
1748886650.4024355,23800,1.0
1748886687.8018045,24100,1.0
1748886700.4494302,24200,1.0
1748886738.7026696,24500,1.0
1748886767.5863757,24700,1.0
1748887045.7806797,26000,1.0
1748887071.526118,26200,1.0
1748887098.1135497,26400,1.0
1748887230.0232966,27400,1.0
1748887348.7933958,27500,1.0
1748887375.3890653,27700,1.0
1748887388.284043,27800,1.0
1748887415.7367575,28000,1.0
1748887429.8157206,28100,1.0
1748887485.830052,28500,1.0
