Wall time,Step,Value
1748869402.7889915,250,-46.916015625
1748869469.538721,400,-47.044921875
1748869671.0566313,850,-49.267578125
1748869763.6905766,1050,-48.865234375
1748869831.510976,1200,-49.2265625
1748869943.25325,1450,-49.884765625
1748870143.654896,1900,-49.01953125
1748871114.1324,2800,-49.546875
1748871136.292099,2850,-51.1015625
1748871180.221678,2950,-51.08203125
1748871428.042838,3500,-50.888671875
1748871679.394677,4050,-50.677734375
1748871702.5992742,4100,-50.240234375
1748871725.041821,4150,-50.478515625
1748871819.1459923,4350,-50.546875
1748871889.0018291,4500,-50.435546875
1748871912.4129703,4550,-50.466796875
1748872812.5068636,5250,-51.08203125
1748872834.8387008,5300,-50.66015625
1748872857.0857303,5350,-51.1796875
1748873288.8651829,6300,-50.580078125
1748873359.530189,6450,-51.455078125
1748873426.9891465,6600,-51.044921875
1748873450.5389287,6650,-50.40234375
1748873657.310541,7100,-51.01171875
1748874907.401265,8500,-51.431640625
1748875003.5952888,8700,-51.62109375
1748875027.3336866,8750,-50.435546875
1748875242.0414546,9200,-51.689453125
1748875266.032028,9250,-51.505859375
1748875335.550275,9400,-51.703125
1748875452.8357613,9650,-51.25390625
1748875477.1587663,9700,-51.146484375
1748878809.4525814,10000,-58.044921875
1748879167.642341,10750,-58.89453125
1748879265.0862467,10950,-59.01171875
1748879289.3270946,11000,-59.65625
1748879361.5418496,11150,-59.1328125
1748879385.2736285,11200,-59.376953125
1748879502.7224472,11450,-59.626953125
1748879646.2946327,11750,-59.728515625
1748879669.3772213,11800,-59.40625
1748879692.2641668,11850,-59.51953125
1748879810.747042,12100,-59.216796875
1748879884.762129,12250,-59.0390625
1748879932.7725213,12350,-60.013671875
1748880932.3498864,13200,-60.05078125
1748881189.1581755,13750,-58.927734375
1748881308.4327705,14000,-59.431640625
1748881601.4187763,14600,-59.337890625
1748881723.8073714,14850,-60.060546875
1748881773.1821082,14950,-59.87890625
1748882389.545806,15000,-59.51953125
1748882439.1973732,15100,-60.265625
1748882687.2838137,15600,-59.4375
1748882735.2251358,15700,-60.29296875
1748883069.2831643,16400,-59.05078125
1748883142.8542545,16550,-59.443359375
1748883213.3596563,16700,-59.443359375
1748883236.3962114,16750,-59.873046875
1748883354.2163353,17000,-59.466796875
1748883377.6506648,17050,-59.951171875
1748883471.3239264,17250,-59.234375
1748883519.0533974,17350,-60.232421875
1748883543.7512987,17400,-59.546875
1748884369.4561937,17850,-60.2734375
1748884439.4968898,18000,-59.3203125
1748884579.6169333,18300,-59.876953125
1748884603.349449,18350,-59.685546875
1748884627.404019,18400,-59.287109375
1748884650.321569,18450,-59.3203125
1748884696.3266137,18550,-60.08203125
1748884794.001421,18750,-59.1875
1748884891.4637704,18950,-60.076171875
1748884915.7428656,19000,-59.537109375
1748884987.710738,19150,-59.0625
1748885012.306794,19200,-59.3203125
1748885036.7223642,19250,-59.595703125
1748885326.8849773,19850,-60.154296875
1748888772.461613,20050,-60.478515625
1748888797.1170344,20100,-61.220703125
1748888970.083024,20450,-61.265625
1748889017.6851635,20550,-60.7734375
1748889352.427251,21250,-60.3359375
1748889499.1474724,21550,-60.791015625
1748889573.459019,21700,-60.6640625
1748889673.903078,21900,-61.478515625
1748889798.8101127,22150,-61.03515625
1748889873.083198,22300,-60.6484375
1748892146.3741477,22750,-61.181640625
1748892978.6511445,24400,-61.583984375
1748893107.7671025,24650,-61.162109375
1748895523.6955118,25300,-61.076171875
1748895677.3533783,25600,-60.833984375
1748895702.7871716,25650,-60.8828125
1748895727.8362603,25700,-61.77734375
1748895800.6308413,25850,-60.99609375
1748895955.0147104,26150,-60.615234375
1748895981.082379,26200,-61.103515625
1748896166.111904,26550,-60.865234375
1748896295.2680206,26800,-61.115234375
1748896373.1112504,26950,-61.138671875
1748898765.7178645,27500,-61.080078125
1748898792.6115465,27550,-60.806640625
1748898819.2336738,27600,-61.623046875
