Wall time,Step,Value
1748869269.9610548,0,9.999999747378752e-05
1748870429.193429,2500,9.950000094249845e-05
1748872135.6903186,5000,9.900250006467104e-05
1748873859.042148,7500,9.850748756434768e-05
1748878234.1451714,10000,9.801494888961315e-05
1748880024.8493476,12500,9.752487676450983e-05
1748881812.960652,15000,9.703724936116487e-05
1748883609.3481376,17500,9.655206667957827e-05
1748888125.714184,20000,9.60693068918772e-05
1748891396.0971177,22500,9.558895544614643e-05
1748894717.8005102,25000,9.511101234238595e-05
1748898128.02637,27500,9.463545575272292e-05
1748901560.420004,30000,9.416227840119973e-05
1748904966.4991684,32500,9.369146573590115e-05
1748908390.6645517,35000,9.322301048086956e-05
1748911820.190239,37500,9.275689808418974e-05
1748915262.984204,40000,9.229311399394646e-05
1748918708.0766394,42500,9.18316436582245e-05
1748922150.3955324,45000,9.137248707702383e-05
1748925621.890423,47500,9.091562969842926e-05
1748929072.1783738,50000,9.046104969456792e-05
1748932524.9062731,52500,9.00087397894822e-05
1748936003.1511717,55000,8.955869998317212e-05
1748939477.4097834,57500,8.911090844776481e-05
1748942939.1889071,60000,8.866535063134506e-05
1748946416.2010503,62500,8.822202653391287e-05
1748949913.770514,65000,8.778091432759538e-05
1748953412.4103174,67500,8.7342006736435e-05
1748956921.0777643,70000,8.690529648447409e-05
1748960437.576951,72500,8.647077629575506e-05
1748963911.583061,75000,8.603841706644744e-05
1748967433.2984235,77500,8.560822607250884e-05
1748970922.719099,80000,8.518018876202404e-05
1748974428.0864446,82500,8.47542833071202e-05
1748977924.5091243,85000,8.433051698375493e-05
1748981443.9451044,87500,8.390886068809777e-05
1748984951.1817122,90000,8.348931442014873e-05
1748988474.662895,92500,8.307187090395018e-05
1748991958.5860937,95000,8.26565083116293e-05
1748995487.5534344,97500,8.224322664318606e-05
1748998993.8894122,100000,8.183201134670526e-05
1749002507.1996999,102500,8.142285514622927e-05
1749006042.3396168,105000,8.101573621388525e-05
1749009556.7426069,107500,8.061066182563081e-05
1749013047.5593264,110000,8.020760287763551e-05
1749016573.9132218,112500,7.980656664585695e-05
1749020068.9199586,115000,7.940753130242229e-05
1749023590.6645896,117500,7.901049684733152e-05
1749027068.982069,120000,7.861544145271182e-05
1749030552.1489403,122500,7.822236511856318e-05
1749034015.5469217,125000,7.783125329297036e-05
1749037553.457189,127500,7.744209869997576e-05
1749041053.4373176,130000,7.705488678766415e-05
1749044561.2015815,132500,7.666961755603552e-05
1749048098.8334258,135000,7.628626917721704e-05
1749051626.2059412,137500,7.590483437525108e-05
1749055134.4576387,140000,7.552531315013766e-05
1749058636.2159657,142500,7.514768367400393e-05
1749062188.4264855,145000,7.477194594684988e-05
1749065685.9636436,147500,7.43980854167603e-05
1749069251.4930005,150000,7.402609480777755e-05
1749072813.5879977,152500,7.365596684394404e-05
1749076351.9877815,155000,7.328768697334453e-05
1749079855.1276875,157500,7.292124792002141e-05
1749083396.2145734,160000,7.255664240801707e-05
1749086936.5772753,162500,7.219385588541627e-05
1749090443.6786993,165000,7.183288835221902e-05
1749093969.8688629,167500,7.147372525651008e-05
1749097553.4656744,170000,7.111635204637423e-05
1749101093.4656043,172500,7.076077599776909e-05
1749104627.1219318,175000,7.040696800686419e-05
1749108224.7073128,177500,7.005493534961715e-05
1749111775.260614,180000,6.970466347411275e-05
1749115308.8323345,182500,6.935613782843575e-05
1749118809.4131584,185000,6.900935841258615e-05
1749122380.7286003,187500,6.866431067464873e-05
1749125890.4575,190000,6.832098733866587e-05
1749129405.0814228,192500,6.797938112867996e-05
1749132918.2754025,195000,6.763948476873338e-05
1749136425.062973,197500,6.730129098286852e-05
1749139947.9954822,200000,6.696478521917015e-05
1749143469.5835567,202500,6.662996020168066e-05
1749147011.0679278,205000,6.629680865444243e-05
1749150560.670127,207500,6.596532330149785e-05
1749154072.8314757,210000,6.56354968668893e-05
1749157631.9429512,212500,6.530732207465917e-05
1749161173.3004155,215000,6.498078437289223e-05
1749164745.753759,217500,6.465587648563087e-05
1749168280.482295,220000,6.433259841287509e-05
1749171791.7562864,222500,6.401093560270965e-05
1749175313.6774535,225000,6.369088077917695e-05
1749178850.2472937,227500,6.337242666631937e-05
1749182404.1795192,230000,6.30555659881793e-05
1749185921.7869437,232500,6.274029146879911e-05
1749189833.5787282,235000,6.24265885562636e-05
1749193619.90778,237500,6.211445725057274e-05
1749197202.516479,240000,6.180388299981132e-05
1749200809.4923902,242500,6.149485852802172e-05
1749204515.9575627,245000,6.118739111116156e-05
1749208059.103283,247500,6.0881451645400375e-05
